customer_id,signup_date,customer_name,email,region,tier,customer_segment,acquisition_channel,churn_status,churn_date
CUST-000001,2023-04-25,Customer 1,client_1@example.com,Tier 1 - West,Tier 1,Consumer,Paid Social,False,
CUST-000002,2024-07-12,Customer 2,client_2@example.com,Tier 1 - West,Tier 1,Consumer,Paid Search,False,
CUST-000003,2024-06-01,Customer 3,client_3@example.com,Tier 2 - North,Tier 2,SMB,Paid Social,False,
CUST-000004,2024-03-05,Customer 4,client_4@example.com,Tier 1 - West,Tier 1,SMB,Paid Search,False,
CUST-000005,2023-06-13,Customer 5,client_5@example.com,Tier 2 - North,Tier 2,Consumer,Email Marketing,False,
CUST-000006,2023-12-11,Customer 6,client_6@example.com,Tier 1 - West,Tier 1,Consumer,Organic Search,False,
CUST-000007,2023-09-28,Customer 7,client_7@example.com,Tier 2 - Central,Tier 2,Consumer,Email Marketing,False,
CUST-000008,2024-01-23,Customer 8,client_8@example.com,Tier 1 - West,Tier 1,Consumer,Affiliate,False,
CUST-000009,2024-01-06,Customer 9,client_9@example.com,Tier 2 - North,Tier 2,Consumer,Paid Search,False,
CUST-000010,2023-10-24,Customer 10,client_10@example.com,East,Tier 1,SMB,Organic Search,False,
CUST-000011,2024-04-09,Customer 11,client_11@example.com,Tier 2 - North,Tier 2,Consumer,Paid Search,False,
CUST-000012,2023-10-01,Customer 12,client_12@example.com,Tier 2 - North,Tier 2,Consumer,Paid Social,False,
CUST-000013,2024-06-30,Customer 13,client_13@example.com,Tier 2 - Central,Tier 2,Consumer,Email Marketing,False,
CUST-000014,2024-07-24,Customer 14,client_14@example.com,Tier 1 - West,Tier 1,SMB,Paid Search,False,
CUST-000015,2023-02-02,Customer 15,client_15@example.com,Tier 2 - Central,Tier 2,Consumer,Email Marketing,False,
CUST-000016,2024-08-03,Customer 16,client_16@example.com,Tier 2 - Central,Tier 2,Consumer,Organic Search,False,
CUST-000017,2024-04-14,Customer 17,client_17@example.com,Tier 1 - West,Tier 1,SMB,Paid Social,False,
CUST-000018,2024-08-21,Customer 18,client_18@example.com,Tier 1 - South,Tier 1,Consumer,Email Marketing,False,
CUST-000019,2023-05-22,Customer 19,client_19@example.com,Tier 2 - North,Tier 2,SMB,Paid Search,True,2023-07-27
CUST-000020,2023-06-13,Customer 20,client_20@example.com,Tier 2 - Central,Tier 2,Consumer,Organic Search,False,
CUST-000021,2024-04-24,Customer 21,client_21@example.com,Tier 2 - North,Tier 2,SMB,Paid Search,False,
CUST-000022,2023-04-28,Customer 22,client_22@example.com,Tier 2 - North,Tier 2,Consumer,Paid Social,False,
CUST-000023,2023-04-25,Customer 23,client_23@example.com,Tier 1 - South,Tier 1,Consumer,Paid Social,False,
CUST-000024,2023-09-27,Customer 24,client_24@example.com,East,Tier 1,Consumer,Paid Search,False,
CUST-000025,2023-11-02,Customer 25,client_25@example.com,Tier 2 - Central,Tier 2,Consumer,Organic Search,False,
CUST-000026,2023-06-15,Customer 26,client_26@example.com,Tier 2 - North,Tier 2,Consumer,Paid Search,False,
CUST-000027,2023-11-28,Customer 27,client_27@example.com,Tier 2 - North,Tier 2,Consumer,Email Marketing,False,
